Aba Boost 1,Aba Boost 2,Aba Boost 3,Aba Boost 4
177857,2773,133975,60605
179012,-3680,139194,58258
222711,15993,90567,77658
263237,62565,107207,10524
265642,76870,126672,-126
267079,65917,127245,-13563
108766,140648,135226,-19904
108217,136367,139807,-27487
108209,131387,144341,-34587
105783,117009,155711,-47819
107951,112733,158839,-54330
111215,109401,161513,-60661
115310,106764,163072,-66391
164285,21335,132703,-34496
166426,16696,124432,-35680
134007,157925,125389,82985
135487,156689,131459,79939
136575,151469,138043,73012
208729,4915,86147,-18257
206515,4849,86085,-11298
198259,34397,121977,-44843
69741,70753,214203,2867
99971,268805,-6335,-8558
70375,75011,215613,-524
69797,73035,214263,-287
129510,34380,148008,-51397
124730,27902,145256,-44695
116292,29280,148298,-46107
112467,23833,144307,-39560
119476,50776,153348,-63782
118657,46373,154143,-59770
113724,37666,154622,-53335
108616,30620,151458,-47490
104687,24945,147201,-41474
112933,52907,156793,-63739
112189,48403,157515,-60317
107156,39310,157918,-54266
101870,31960,154602,-48886
97839,26047,150099,-43346
98532,63928,162914,-61647
101053,63101,165725,-63284
100980,59298,166554,-62494
101246,62590,168094,-60747
100707,60895,169927,-59186
96188,73836,166606,-54887
99324,73372,169834,-57403
76270,20104,142070,-38368
75020,18104,145064,-37339
90340,77136,167856,-53039
93612,76936,171286,-55607
93860,73224,172186,-56230
93706,68294,172738,-56785
77128,39812,163154,-49137
71888,32740,157538,-46776
